ID,Image URL,Category,Caption
49,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3422.jpeg,infrastructure,Describe the image here
50,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3418.jpeg,infrastructure,Describe the image here
51,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3419.jpeg,infrastructure,Describe the image here
52,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3423.jpeg,infrastructure,Describe the image here
53,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3428.jpeg,infrastructure,Describe the image here
54,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3424.jpeg,infrastructure,Describe the image here
55,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3425.jpeg,infrastructure,Describe the image here
56,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3429.jpeg,infrastructure,Describe the image here
57,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3410.jpeg,infrastructure,Describe the image here
58,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3430.jpeg,infrastructure,Describe the image here
59,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3426.jpeg,infrastructure,Describe the image here
60,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3427.jpeg,infrastructure,Describe the image here
61,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3431.jpeg,infrastructure,Describe the image here
62,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3420.jpeg,infrastructure,Describe the image here
63,/Users/yadira/ComputerProjectsTwo/Week-8/datawalk/infrastructure/IMG_3421.jpeg,infrastructure,Describe the image here
